method,ari,ari_std,accuracy,acc_std,bal_acc,kappa,kappa_std,macro_f1
Random Forest,0.5598037546519656,0.07317099690897465,0.7709999999999999,0.03703376837428242,0.5895738176809994,0.650500431170076,0.05330100576691295,0.6050600188904122
SVM (RBF),0.5763464717600149,0.0440270879487829,0.7732,0.020602427041491986,0.6290563717682,0.6624506990473581,0.029842436608025224,0.6354265870224218
MLP (sklearn),0.5370290386024139,0.049272168077928086,0.7424000000000001,0.029766424037831602,0.6164497946303308,0.6214648502874263,0.042032262242491576,0.6097248286993071
Deep NN (256-128-64),0.5718008904255735,0.055526366344058706,0.7675,0.028202836736753986,0.6279193123499296,0.6544198431257386,0.04098778850808931,0.6299627875449264
