stage,precision,recall,f1,support
W,0.17196261682242991,0.12057667103538663,0.14175654853620956,763
N1,0.6554411355413303,0.7106216053108027,0.6819168959027074,3314
N2,0.5487977369165488,0.6034214618973561,0.5748148148148148,643
N3,0.39081632653061227,0.4044350580781415,0.39750908147379344,947
REM,0.8160095579450418,0.788137549042234,0.8018314158253111,4333
