,silhouette,davies_bouldin,calinski_harabasz,ari,ami,nmi,homogeneity,completeness,v_measure,f_score
kmeans,0.3661,1.2293,152.3351,0.4499,0.3625,0.3659,0.3825,0.3507,0.3659,0.7493
hierarchical,0.363,1.2671,150.2078,0.4278,0.3472,0.3507,0.3673,0.3356,0.3507,0.7382
dbscan,0.4321,1.0335,98.0881,0.369,0.3803,0.388,0.4485,0.3419,0.388,0.6765
spectral,0.3228,0.6715,83.989,0.3194,0.3444,0.3491,0.2798,0.464,0.3491,0.5912
gmm,0.2948,1.4124,120.7958,0.2095,0.2732,0.2772,0.2835,0.2711,0.2772,0.5236
density_peak,-0.3143,1.0064,1.2235,0.0053,0.0042,0.0193,0.0102,0.1776,0.0193,0.4433
