,silhouette,davies_bouldin,calinski_harabasz,ari,ami,nmi,homogeneity,completeness,v_measure,f_score
KMeans,0.4695,0.8723,9905.0693,0.0309,0.0097,0.0098,0.0094,0.0102,0.0098,0.5913
Hierarchical,0.4724,0.8034,8340.6513,0.055,0.0212,0.0213,0.0189,0.0243,0.0213,0.6088
GMM_full,0.2225,1.2,4087.3679,-0.0025,0.0001,0.0002,0.0002,0.0002,0.0002,0.5303
GMM_diag,0.3571,1.0669,7172.6732,0.0026,0.0025,0.0026,0.0027,0.0025,0.0026,0.5342
