method,ari,ami,nmi,f_score
Flat_K5,0.03142503629114458,0.03930486588665639,0.039836612770659856,0.3399723552717451
Hierarchical,0.01037339423341141,0.05965118250662861,0.060320740439162863,0.3498795846742272
