,silhouette,davies_bouldin,calinski_harabasz,ari,ami,nmi,homogeneity,completeness,v_measure,f_score
KMeans,0.3753,0.9492,9311.2269,0.0514,0.0375,0.0377,0.0406,0.0352,0.0377,0.4845
Hierarchical,0.3044,1.0847,7362.0972,0.0495,0.028,0.0282,0.0295,0.027,0.0282,0.478
GMM_full,0.2569,1.0076,4713.2387,0.0319,0.0298,0.03,0.0316,0.0285,0.03,0.4689
GMM_diag,0.2346,1.3365,6234.0809,0.019,0.0113,0.0115,0.012,0.011,0.0115,0.4469
